============================================================
  Scraper OAB - JurisWay  (IDs verificados, encoding iso-8859-1)
============================================================

-------------------------------------------------------
  OAB-XXI  (id_prova=642)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=A | media
  [ 2/80] Etica Profissional           correta=D | media
  [ 3/80] Etica Profissional           correta=B | media
  [ 4/80] Etica Profissional           correta=B | media
  [ 5/80] Etica Profissional           correta=C | media
  [ 6/80] Etica Profissional           correta=C | facil
  [ 7/80] Etica Profissional           [sem gabarito] | media
  [ 8/80] Etica Profissional           correta=B | media
  [ 9/80] Etica Profissional           correta=D | facil
  [10/80] Etica Profissional           correta=B | media
  [11/80] Filosofia do Direito         correta=C | media
  [12/80] Filosofia do Direito         correta=D | media
  [13/80] Direito Constitucional       correta=B | media
  [14/80] Direito Constitucional       correta=B | facil
  [15/80] Direito Constitucional       correta=D | dificil
  [16/80] Direito Constitucional       correta=B | media
  [17/80] Direito Constitucional       correta=D | dificil
  [18/80] Direito Constitucional       correta=C | media
  [19/80] Direito Constitucional       correta=D | facil
  [20/80] Direitos Humanos             correta=C | facil
  [21/80] Direitos Humanos             correta=C | dificil
  [22/80] Direitos Humanos             correta=A | facil
  [23/80] Direito Internacional        correta=D | dificil
  [24/80] Direito Internacional        correta=D | media
  [25/80] Questo 25 - Direito Tributri correta=D | dificil
  [26/80] Questo 26 - Direito Tributri correta=C | media
  [27/80] Questo 27 - Direito Tributri correta=A | dificil
  [28/80] Questo 28 - Direito Tributri correta=C | facil
  [29/80] Direito Administrativo       correta=B | facil
  [30/80] Direito Administrativo       correta=C | media
  [31/80] Direito Administrativo       correta=D | facil
  [32/80] Direito Administrativo       correta=C | media
  [33/80] Direito Administrativo       correta=C | facil
  [34/80] Direito Administrativo       correta=C | media
  [35/80] Direito Ambiental            correta=B | facil
  [36/80] Direito Ambiental            correta=B | media
  [37/80] Direito Civil                correta=C | dificil
  [38/80] Direito Civil                correta=D | facil
  [39/80] Direito Civil                correta=D | media
  [40/80] Direito Civil                correta=A | facil
  [41/80] Direito Civil                correta=C | dificil
  [42/80] Direito Civil                correta=A | media
  [43/80] Direito Civil                correta=D | facil
  [44/80] Questo 44 - Estatuto da Cria correta=D | media
  [45/80] Questo 45 - Estatuto da Cria correta=B | facil
  [46/80] Direito do Consumidor        correta=B | dificil
  [47/80] Direito do Consumidor        correta=C | media
  [48/80] Direito Empresarial          correta=A | media
  [49/80] Direito Empresarial          correta=B | dificil
  [50/80] Direito Empresarial          correta=A | media
  [51/80] Direito Empresarial          correta=D | dificil
  [52/80] Direito Empresarial          correta=C | dificil
  [53/80] Direito Processual Civil     correta=A | media
  [54/80] Direito Processual Civil     correta=C | dificil
  [55/80] Direito Processual Civil     correta=B | facil
  [56/80] Direito Processual Civil     correta=B | dificil
  [57/80] Direito Processual Civil     correta=B | media
  [58/80] Direito Processual Civil     correta=C | dificil
  [59/80] Direito Penal                correta=A | facil
  [60/80] Direito Penal                correta=A | media
  [61/80] Direito Penal                correta=B | facil
  [62/80] Direito Penal                correta=C | facil
  [63/80] Direito Penal                correta=D | facil
  [64/80] Direito Penal                correta=D | dificil
  [65/80] Direito Processual Penal     correta=B | media
  [66/80] Direito Processual Penal     correta=A | facil
  [67/80] Direito Processual Penal     [sem gabarito] | media
  [68/80] Direito Processual Penal     correta=A | dificil
  [69/80] Direito Processual Penal     correta=A | media
  [70/80] Direito do Trabalho          correta=A | dificil
  [71/80] Direito do Trabalho          correta=A | media
  [72/80] Direito do Trabalho          correta=B | dificil
  [73/80] Direito do Trabalho          correta=C | media
  [74/80] Direito do Trabalho          correta=A | media
  [75/80] Direito do Trabalho          correta=B | media
  [76/80] Direito Processual do Trabal correta=A | facil
  [77/80] Direito Processual do Trabal correta=B | dificil
  [78/80] Direito Processual do Trabal correta=B | media
  [79/80] Direito Processual do Trabal correta=C | dificil
  [80/80] Direito Processual do Trabal correta=D | media

-------------------------------------------------------
  OAB-XXII  (id_prova=643)  -- 80 questoes pendentes
-------------------------------------------------------
  [ 1/80] Etica Profissional           correta=D | media
  [ 2/80] Etica Profissional           correta=A | media
  [ 3/80] Etica Profissional           correta=B | facil
  [ 4/80] Etica Profissional           correta=D | facil
  [ 5/80] Etica Profissional           correta=B | media
  [ 6/80] Etica Profissional           correta=A | facil
  [ 7/80] Etica Profissional           correta=B | media
  [ 8/80] Etica Profissional           correta=C | facil
  [ 9/80] Etica Profissional           correta=B | facil
  [10/80] Etica Profissional           correta=D | media
  [11/80] Filosofia do Direito         correta=A | media
  [12/80] Filosofia do Direito         correta=D | dificil
  [13/80] Direito Constitucional       correta=C | dificil
  [14/80] Direito Constitucional       correta=D | dificil
  [15/80] Direito Constitucional       correta=C | media
  [16/80] Direito Constitucional       correta=B | facil
  [17/80] Direito Constitucional       correta=A | media
  [18/80] Direito Constitucional       correta=B | media
  [19/80] Direito Constitucional       correta=B | dificil
  [20/80] Direitos Humanos             correta=D | media
  [21/80] Direitos Humanos             correta=D | dificil
